"date","Apple","IBM","ITW","TESLA"
2011-11-17,13.478929,185.729996,44.380001,6.736
2011-11-18,13.390715,185.240005,44.939999,6.52
2011-11-21,13.178928,181.479996,43.790001,6.352
2011-11-22,13.446786,181.309998,44.049999,6.414
2011-11-23,13.106786,177.949997,42.5,6.29
2011-11-25,12.984643,177.059998,42.580002,6.332
2011-11-28,13.432858,182.210007,43.700001,6.512
2011-11-29,13.328571,180.940002,43.389999,6.35
2011-11-30,13.65,188,45.439999,6.548
2011-12-01,13.854643,189.449997,45.119999,6.52
2011-12-02,13.917857,189.660004,45.950001,6.66
2011-12-05,14.036072,190.839996,47.029999,6.884
2011-12-06,13.9625,192.940002,47.189999,6.974
2011-12-07,13.896071,194.050003,47.509998,6.838
2011-12-08,13.952143,191.580002,46.32,6.178
2011-12-09,14.057858,194.559998,47.130001,6.208
2011-12-12,13.994286,192.179993,46.759998,6.082
2011-12-13,13.886071,191.149994,46.43,5.89
2011-12-14,13.578215,188.720001,45.82,5.706
2011-12-15,13.533571,187.479996,45.75,5.724
2011-12-16,13.607857,183.570007,46,5.6
2011-12-19,13.650357,182.889999,45.619999,5.55
2011-12-20,14.141071,187.240005,47.23,5.58
2011-12-21,14.158929,181.470001,46.700001,5.514
2011-12-22,14.233929,182.039993,46.970001,5.554
2011-12-23,14.404643,184.75,47.720001,5.58
2011-12-27,14.518929,184.949997,47.869999,5.714
2011-12-28,14.38,183.990005,46.41,5.702
2011-12-29,14.468572,186.179993,46.91,5.746
2011-12-30,14.464286,183.880005,46.709999,5.712
2012-01-03,14.686786,186.300003,48.029999,5.616
2012-01-04,14.765715,185.539993,48.279999,5.542
2012-01-05,14.929643,184.660004,48.400002,5.424
2012-01-06,15.085714,182.539993,47.790001,5.382
2012-01-09,15.061786,181.589996,47.880001,5.45
2012-01-10,15.115714,181.309998,48.68,5.524
2012-01-11,15.091071,182.320007,49.049999,5.646
2012-01-12,15.049643,180.550003,49.5,5.65
2012-01-13,14.993215,179.160004,49.369999,4.558
2012-01-17,15.167857,180,50.959999,5.32
2012-01-18,15.325357,181.070007,50.700001,5.362
2012-01-19,15.276786,180.520004,51.220001,5.352
2012-01-20,15.010715,188.520004,51.470001,5.32
2012-01-23,15.264643,189.979996,51.549999,5.354
2012-01-24,15.014643,191.929993,51.93,5.484
2012-01-25,15.952143,191.729996,52.82,5.594
2012-01-26,15.879642,190.979996,53.009998,5.788
2012-01-27,15.974286,190.460007,52.77,5.866
2012-01-30,16.178928,192.5,53.200001,5.914
2012-01-31,16.302856,192.600006,53.029999,5.814
2012-02-01,16.2925,192.619995,54.900002,5.916
2012-02-02,16.254286,191.529999,54.98,6.05
2012-02-03,16.417143,193.639999,55.599998,6.23
2012-02-06,16.570356,192.820007,55.580002,6.36
2012-02-07,16.743929,193.350006,55.790001,6.32
2012-02-08,17.024286,192.949997,56,6.386
2012-02-09,17.613214,193.130005,56.34,6.516
2012-02-10,17.622143,192.419998,55.709999,6.22
2012-02-13,17.950001,192.619995,55.950001,6.298
2012-02-14,18.195,192.220001,55.970001,6.634
2012-02-15,17.773928,192.25,55.439999,6.72
2012-02-16,17.936071,193.020004,56.419998,6.836
2012-02-17,17.932858,193.419998,56.189999,6.994
2012-02-21,18.387501,193.389999,56.560001,6.9
2012-02-22,18.322857,193.869995,56.220001,6.844
2012-02-23,18.442499,197.610001,56.34,6.906
2012-02-24,18.657499,197.759995,55.919998,6.75
2012-02-27,18.777143,197.529999,56.27,6.724
2012-02-28,19.121786,197.979996,56.009998,6.762
2012-02-29,19.372858,196.729996,55.689999,6.682
2012-03-01,19.445356,197.529999,55.880001,6.882
2012-03-02,19.470715,198.809998,55.5,6.808
2012-03-05,19.04143,200.660004,55.360001,6.754
2012-03-06,18.937857,197.259995,53.619999,6.622
2012-03-07,18.953215,197.770004,54.240002,6.624
2012-03-08,19.356785,199.809998,54.98,6.614
